method,sink_length,recent_length,strict_accuracy,rescues_vs_s0,regressions_vs_s0,net_gain_vs_s0,length_stop_rate,mean_generated_tokens,theoretical_effective_bits,actual_storage_bits,extra_bits_vs_s0,gain_per_extra_bit
PatternKV,0,128,0.5833333333333334,0,0,0,0.08333333333333333,12082.666666666666,2.6672968960263805,3.326651361604053,0.0,
PatternKV,16,128,0.75,4,2,2,0.0,11223.166666666666,2.728759477321293,3.4094569292573493,0.06146258129491233,32.54012372834646
PatternKV,32,128,0.75,3,1,2,0.0,7900.166666666667,2.797147492368596,3.480727940035268,0.1298505963422154,15.402316634180792
PatternKV,64,128,0.6666666666666666,2,1,1,0.0,9219.583333333334,2.860319070762583,3.5262046365433486,0.19302217473620242,5.180751907736351
PatternKV,128,128,0.5833333333333334,1,1,0,0.0,9867.416666666666,2.909183328724131,3.549532559689629,0.24188643269775056,0.0
KIVI,0,128,0.16666666666666666,0,0,0,0.08333333333333333,15401.416666666666,2.4068871844075046,2.4730435009485308,0.0,
KIVI,16,128,0.5,4,0,4,0.0,11149.333333333334,2.5322198257155386,2.6634305376707412,0.125332641308034,31.91506983539167
KIVI,32,128,0.4166666666666667,3,0,3,0.0,7575.166666666667,2.5847408926111024,2.6990824835680725,0.1778537082035978,16.867795618665166
KIVI,64,128,0.5833333333333334,7,2,5,0.0,12155.75,2.5039688571299106,2.604527908429888,0.09708167272240598,51.503026882292524
KIVI,128,128,0.6666666666666666,6,0,6,0.0,9267.833333333334,2.850712094631461,3.0348951834410722,0.4438249102239564,13.518844620443607
